,community,rank,word,,,,,,,,,,,,,,,,
1,3,1,find/verb,,,,,,,,,,,,,,,,
2,3,2,finds/verb,,,,,,,,,,,,,,,,
3,3,3,men/noun,,,,,,,,,,,,,,,,
4,3,4,killed/verb,,,,,,,,,,,,,,,,
5,3,5,police/noun,,,,,,,,,,,,,,,,
6,3,6,group/noun,,,,,,,,,,,,,,,,
7,3,7,kill/verb,,,,,,,,,,,,,,,,
8,3,8,car/noun,,,,,,Action,Crime,Family,Plot Narration,Shopping,Suicide,,,,,
9,3,9,death/noun,,,,,,find/verb,find/verb,male/characters,other/adj,store/noun,suicide/noun,,,,,
10,3,10,tries/verb,,,,,,finds/verb,finds/verb,is/verb,film/noun,park/noun,commit/verb,Family,Crime,Action,War,Plot Narration
11,3,11,way/noun,,,,,,men/noun,men/noun,be/verb,begins/verb,middle/noun,pills/noun,female/characters,police/noun,finds/verb,other/adj,film/noun
12,3,12,escape/verb,,,,,,killed/verb,killed/verb,father/noun,including/verb,homeless/adj,sleeping/verb,is/verb,money/noun,find/verb,men/noun,begins/verb
13,3,13,dead/adj,,,,,,police/noun,police/noun,has/verb,school/noun,mall/noun,overdose/noun,be/verb,town/noun,house/noun,group/noun,story/noun
14,3,14,using/verb,,,,,,group/noun,group/noun,tells/verb,are/verb,shopping/noun,committing/verb,has/verb,take/verb,takes/verb,including/verb,ends/verb
15,3,15,room/noun,,,,,,kill/verb,kill/verb,man/noun,people/noun,grocery/noun,attempted/verb,family/noun,local/adj,goes/verb,are/verb,show/noun
16,3,16,kills/verb,,,,,,car/noun,car/noun,family/noun,story/noun,cashier/noun,commits/verb,father/noun,murder/noun,car/noun,using/verb,scene/noun
17,3,17,discovers/verb,,,,,,death/noun,death/noun,time/noun,team/noun,shopping/verb,volunteer/verb,tells/verb,gang/noun,tries/verb,team/noun,game/noun
18,3,18,killing/verb,,,,,,tries/verb,tries/verb,wife/noun,world/noun,bench/noun,shaken/verb,time/noun,found/verb,killed/verb,people/noun,final/adj
19,3,19,body/noun,,,,,,way/noun,way/noun,life/noun,same/adj,department/noun,contemplating/verb,life/noun,taken/verb,death/noun,order/noun,end/noun
20,3,20,causing/verb,,,,,,escape/verb,escape/verb,new/adj,women/noun,aged/adj,contemplates/verb,wife/noun,crime/noun,room/noun,use/verb,last/adj
21,5,1,male/characters,,,,,,dead/adj,dead/adj,have/verb,sees/verb,convenience/noun,,man/noun,arrested/verb,way/noun,ship/noun,making/verb
22,5,2,is/verb,,,,,,using/verb,using/verb,mother/noun,high/adj,amusement/noun,,mother/noun,working/verb,body/noun,city/noun,music/noun
23,5,3,be/verb,,,,,,room/noun,room/noun,take/verb,made/verb,clearing/verb,,have/verb,case/noun,dead/adj,world/noun,movie/noun
24,5,4,father/noun,,,,,,kills/verb,kills/verb,get/verb,making/verb,liquor/noun,,new/adj,prison/noun,kill/verb,several/adj,shows/verb
25,5,5,has/verb,,,,,,discovers/verb,discovers/verb,go/verb,many/adj,hardware/noun,,go/verb,taking/verb,escape/verb,help/noun,band/noun
26,5,6,tells/verb,,,,,,killing/verb,killing/verb,own/adj,ends/verb,,,son/noun,office/noun,leaves/verb,war/noun,play/verb
27,5,7,man/noun,,,,,,body/noun,body/noun,friend/noun,called/verb,,,young/adj,officer/noun,sees/verb,explains/verb,playing/verb
28,5,8,family/noun,,,,,,causing/verb,causing/verb,takes/verb,show/noun,,,home/noun,evidence/noun,kills/verb,crew/noun,following/verb
29,5,9,time/noun,,,,,,,,,,,,friend/noun,place/noun,discovers/verb,small/adj,series/noun
30,5,10,wife/noun,,,,,,,,,,,,love/noun,stolen/verb,gets/verb,plan/noun,song/noun
31,5,11,life/noun,,,,,,,,,,,,,,,,
32,5,12,new/adj,,,,,,,,,,,,,,,,
33,5,13,have/verb,,,,,,,,,,,,,,,,
34,5,14,mother/noun,,,,,,Family,Action,Shopping,Suicide,Plot Narration,,,,,,
35,5,15,take/verb,,,,,,male/characters,find/verb,store/noun,suicide/noun,other/adj,,,,,,
36,5,16,get/verb,,,,,,is/verb,finds/verb,park/noun,commit/verb,film/noun,,,,,,
37,5,17,go/verb,,,,,,be/verb,men/noun,middle/noun,pills/noun,begins/verb,,,,,,
38,5,18,own/adj,,,,,,father/noun,killed/verb,homeless/adj,sleeping/verb,including/verb,,,,,,
39,5,19,friend/noun,,,,,,has/verb,police/noun,mall/noun,overdose/noun,school/noun,,,,,,
40,5,20,takes/verb,,,,,,tells/verb,group/noun,shopping/noun,committing/verb,are/verb,,,,,,
41,2,1,other/adj,,,,,,man/noun,kill/verb,grocery/noun,attempted/verb,people/noun,,,,,,
42,2,2,film/noun,,,,,,family/noun,car/noun,cashier/noun,commits/verb,story/noun,,,,,,
43,2,3,begins/verb,,,,,,time/noun,death/noun,shopping/verb,volunteer/verb,team/noun,,,,,,
44,2,4,including/verb,,,,,,wife/noun,tries/verb,bench/noun,shaken/verb,world/noun,,,,,,
45,2,5,school/noun,,,,,,life/noun,way/noun,department/noun,contemplating/verb,same/adj,,,,,,
46,2,6,are/verb,,,,,,new/adj,escape/verb,aged/adj,contemplates/verb,women/noun,,,,,,
47,2,7,people/noun,,,,,,have/verb,dead/adj,convenience/noun,,sees/verb,,,,,,
48,2,8,story/noun,,,,,,mother/noun,using/verb,amusement/noun,,high/adj,,,,,,
49,2,9,team/noun,,,,,,take/verb,room/noun,clearing/verb,,made/verb,,,,,,
50,2,10,world/noun,,,,,,get/verb,kills/verb,liquor/noun,,making/verb,,,,,,
51,2,11,same/adj,,,,,,go/verb,discovers/verb,hardware/noun,,many/adj,,,,,,
52,2,12,women/noun,,,,,,own/adj,killing/verb,,,ends/verb,,,,,,
53,2,13,sees/verb,,,,,,friend/noun,body/noun,,,called/verb,,,,,,
54,2,14,high/adj,,,,,,takes/verb,causing/verb,,,show/noun,,,,,,
55,2,15,made/verb,,,,,,,,,,,,,,,,
56,2,16,making/verb,,,,,,,,,,,,,,,,
57,2,17,many/adj,,,,,,,,,,,,,,,,
58,2,18,ends/verb,,,,,,,,,,,,,,,,
59,2,19,called/verb,,,,,,,,,,,,,,,,
60,2,20,show/noun,,,,,,,,,,,,,,,,
61,1,1,store/noun,,,,,,,,,,,,,,,,
62,1,2,park/noun,,,,,,,,,,,,,,,,
63,1,3,middle/noun,,,,,,,,,,,,,,,,
64,1,4,homeless/adj,,,,,,,,,,,,,,,,
65,1,5,mall/noun,,,,,,,,,,,,,,,,
66,1,6,shopping/noun,,,,,,,,,,,,,,,,
67,1,7,grocery/noun,,,,,,,,,,,,,,,,
68,1,8,cashier/noun,,,,,,,,,,,,,,,,
69,1,9,shopping/verb,,,,,,,,,,,,,,,,
70,1,10,bench/noun,,,,,,,,,,,,,,,,
71,1,11,department/noun,,,,,,,,,,,,,,,,
72,1,12,aged/adj,,,,,,,,,,,,,,,,
73,1,13,convenience/noun,,,,,,,,,,,,,,,,
74,1,14,amusement/noun,,,,,,,,,,,,,,,,
75,1,15,clearing/verb,,,,,,,,,,,,,,,,
76,1,16,liquor/noun,,,,,,,,,,,,,,,,
77,1,17,hardware/noun,,,,,,,,,,,,,,,,
78,4,1,suicide/noun,,,,,,,,,,,,,,,,
79,4,2,commit/verb,,,,,,,,,,,,,,,,
80,4,3,pills/noun,,,,,,,,,,,,,,,,
81,4,4,sleeping/verb,,,,,,,,,,,,,,,,
82,4,5,overdose/noun,,,,,,,,,,,,,,,,
83,4,6,committing/verb,,,,,,,,,,,,,,,,
84,4,7,attempted/verb,,,,,,,,,,,,,,,,
85,4,8,commits/verb,,,,,,,,,,,,,,,,
86,4,9,volunteer/verb,,,,,,,,,,,,,,,,
87,4,10,shaken/verb,,,,,,,,,,,,,,,,
88,4,11,contemplating/verb,,,,,,,,,,,,,,,,
89,4,12,contemplates/verb,,,,,,,,,,,,,,,,
