"","community","rank","word"
"1",2,1,"finds/verb"
"2",2,2,"find/verb"
"3",2,3,"car/noun"
"4",2,4,"house/noun"
"5",2,5,"killed/verb"
"6",2,6,"body/noun"
"7",2,7,"death/noun"
"8",2,8,"discovers/verb"
"9",2,9,"room/noun"
"10",2,10,"using/verb"
"11",2,11,"causing/verb"
"12",2,12,"kills/verb"
"13",2,13,"killing/verb"
"14",2,14,"leaving/verb"
"15",2,15,"sees/verb"
"16",2,16,"falls/verb"
"17",2,17,"dead/adj"
"18",2,18,"arrives/verb"
"19",2,19,"head/noun"
"20",2,20,"water/noun"
"21",1,1,"other/adj"
"22",1,2,"men/noun"
"23",1,3,"group/noun"
"24",1,4,"police/noun"
"25",1,5,"get/verb"
"26",1,6,"town/noun"
"27",1,7,"kill/verb"
"28",1,8,"including/verb"
"29",1,9,"are/verb"
"30",1,10,"tries/verb"
"31",1,11,"team/noun"
"32",1,12,"people/noun"
"33",1,13,"local/adj"
"34",1,14,"help/verb"
"35",1,15,"order/noun"
"36",1,16,"several/adj"
"37",1,17,"led/verb"
"38",1,18,"gang/noun"
"39",1,19,"city/noun"
"40",1,20,"war/noun"
"41",7,1,"female/characters"
"42",7,2,"is/verb"
"43",7,3,"be/verb"
"44",7,4,"father/noun"
"45",7,5,"tells/verb"
"46",7,6,"has/verb"
"47",7,7,"mother/noun"
"48",7,8,"family/noun"
"49",7,9,"life/noun"
"50",7,10,"man/noun"
"51",7,11,"wife/noun"
"52",7,12,"have/verb"
"53",7,13,"son/noun"
"54",7,14,"own/adj"
"55",7,15,"love/noun"
"56",7,16,"go/verb"
"57",7,17,"daughter/noun"
"58",7,18,"becomes/verb"
"59",7,19,"young/adj"
"60",7,20,"home/noun"
"61",4,1,"film/noun"
"62",4,2,"time/noun"
"63",4,3,"new/adj"
"64",4,4,"begins/verb"
"65",4,5,"school/noun"
"66",4,6,"make/verb"
"67",4,7,"makes/verb"
"68",4,8,"story/noun"
"69",4,9,"way/noun"
"70",4,10,"show/noun"
"71",4,11,"made/verb"
"72",4,12,"making/verb"
"73",4,13,"ends/verb"
"74",4,14,"same/adj"
"75",4,15,"game/noun"
"76",4,16,"shows/verb"
"77",4,17,"scene/noun"
"78",4,18,"night/noun"
"79",4,19,"high/adj"
"80",4,20,"part/noun"
"81",6,1,"money/noun"
"82",6,2,"takes/verb"
"83",6,3,"take/verb"
"84",6,4,"gives/verb"
"85",6,5,"job/noun"
"86",6,6,"company/noun"
"87",6,7,"offers/verb"
"88",6,8,"business/noun"
"89",6,9,"give/verb"
"90",6,10,"pay/verb"
"91",6,11,"more/adj"
"92",6,12,"taking/verb"
"93",6,13,"given/verb"
"94",6,14,"owner/noun"
"95",6,15,"bank/noun"
"96",6,16,"sell/verb"
"97",6,17,"stolen/verb"
"98",6,18,"exchange/noun"
"99",6,19,"giving/verb"
"100",6,20,"buy/verb"
